code,lat,lon,city,state
[01R],31.22,-92.95,Claiborne R,LA
[01T],28.13,-94.4,High Island,LA
[0E4],34.23,-111.33,Payson,AZ
[0V1],43.77,-103.6,Custer,SD
[0Z5],22.38,-159.67,Kilauea Pt,HI
[18N],41.3,-72.08,New London,CT
[1G7],28.78,-89.05,Missippi Can,LA
[1K5],37,-101.88,Elkhart,KS
[1O5],41.73,-122.53,Montague,CA
[1V1],39.53,-107.8,Rifle,CO
[1Y7],32.85,-114.4,Yuma Prv Gd,AZ
[1Z2],20.42,-156.47,Upolo Pt Ln,HI
[1Z6],24.45,-166.47,Fr Frigate,HI
[27U],45.18,-113.9,Salmon,ID
[2C2],32.63,-106.4,White Sands,NM
[2DP],36.13,-76.5,Dare Co Gr,NC
[2V9],38.55,-106.93,Gunnison,CO
[30B],41.78,-70.5,Cape Cod Can,MA
[30N],41.22,-72.67,New Haven,CT
[3B1],45.45,-69.55,Greenville,ME
[3DU],46.67,-113.15,Drummond,MT
[3HT],46.43,-109.83,Harlowton,MT
[3KM],37.75,-97.22,Col. J Jabar,KS
[3OI],40.62,-93.93,Lamoni,IA
[3S2],45.25,-122.75,Aurora,OR
[3SE],43.17,-95.15,Spencer,IA
[3TH],47.6,-115.37,Thompson Fal,MT
[41I],28.47,-91.78,Eugene Is.,LA
[43M],39.73,-77.43,Site R,PA
[44W],35.25,-75.5,Diamond Sho,NC
[4BK],42.08,-124.47,Brookings,OR
[4BL],38.03,-109.78,Blanding,UT
[4BQ],45.67,-105.67,Broadus,MT
[4CR],34.1,-105.68,Corona,NM
[4DG],42.75,-105.38,Douglas,WY
[4HV],38.37,-110.72,Hanksville,UT
[4LJ],38.12,-102.6,Lamar,CO
[4LW],42.18,-120.35,Lake View,OR
[4MC],44.35,-104.81,Moorcroft,WY
[4MY],34.98,-106.05,Moriarity,NM
[4OM],48.42,-119.53,Omak,WA
[4SL],36.02,-106.95,Cuba Awrs,NM
[4SU],35.33,-117.1,Superior Val,CA
[51Q],37.75,-122.68,San Francisco,CA
[53Q],37.83,-122.83,Pillaro Pt,CA
[5BI],60.82,-152.3,Big River Lk,AK
[5CE],60.33,-145,Cape St Eli,AK
[5EA],63.83,-149,Healy River,AK
[5GN],61.9,-147.3,Tahneta Pass,AK
[5HN],60.38,-147.08,Cape Hinchi,AK
[5HR],61.98,-152.08,Hayes River,AK
[5I3],37.48,-82.52,Pikeville,KY
[5PX],63.03,-145.5,Paxson,AK
[5R0],28.22,-93.75,High Is,LA
[5SO],62.03,-146.67,Snowshoe Lk,AK
[5SZ],62.73,-143.92,Duffys Tavern,AK
[5WD],60.18,-149.75,Seward,AK
[5WO],61.63,-149.03,Lazy Mtn,AK
[5WT],60.78,-148.72,Whittier,AK
[63S],48.88,-118.47,Colville,WA
[6B2],45.78,-69.63,Greenville,ME
[6V1],40.33,-101.39,Imperial,NE
[6V8],38.5,-107.88,Montrose,CO
[75S],48.5,-122.33,Burlington,WA
[76S],48.25,-122.68,Oak Harbor,WA
[77M],42.3,-113.37,Malta,ID
[7R3],29.7,-91.1,Lk Palourde,LA
[7R4],29.73,-92.12,Intercoastal,LA
[7R5],29.78,-93.3,Cameron Heli,LA
[7R8],28.3,-91.98,S Marsh Isl,LA
[87Q],35.67,-121.28,Pt Piedras,CA
[8B8],44,-71.38,Wolfeboro,NH
[90J],29.12,-81.57,Astor NAS,FL
[92S],43.38,-124.95,Cape Blanco,OR
[9B2],44.42,-72.02,St Johnsbury,VT
[9V9],43.8,-99.32,Chamberlain,SD
[ABE],40.65,-75.43,Allentown,PA
[ABI],32.42,-99.68,Abilene,TX
[ABQ],35.05,-106.6,Albuquerque,NM
[ABR],45.45,-98.43,Aberdeen,SD
[ABY],31.53,-84.18,Albany,GA
[ACK],41.25,-70.07,Nantucket,MA
[ACT],31.62,-97.22,Waco-Madison,TX
[ACV],40.98,-124.1,Arcata,CA
[ACY],39.45,-74.57,Atlantic Cty,NJ
[ADK],51.88,-176.65,Adak,AK
[ADM],34.3,-97.02,Ardmore,OK
[ADQ],57.75,-152.5,Kodiak,AK
[ADS],32.97,-96.83,Dallas/Addis,TX
[ADW],38.82,-76.87,Andrews AFB,MD
[AEL],43.68,-93.37,Albert Lea,MN
[AEX],31.33,-92.55,England AFB,LA
[AFF],39.52,-105.35,Air Force A,CO
[AFN],42.8,-72,Jaffrey,NH
[AGC],40.35,-79.93,Pittsburgh,PA
[AGN],57.83,-134.97,Angoon,AK
[AGR],28.08,-81.55,Avon Park G,FL
[AGS],33.37,-81.97,Augusta/Bush,GA
[AHN],33.95,-83.32,Athens,GA
[AIA],42.05,-102.8,Alliance,NE
[AIN],70.62,-159.85,Wainwright,AK
[AKN],58.68,-156.65,King Salmon,AK
[AKO],40.17,-103.22,Akron,CO
[ALB],42.75,-73.8,Albany,NY
[ALI],27.73,-98.03,Alice,TX
[ALN],38.88,-90.05,Alton,IL
[ALO],42.55,-92.4,Waterloo Mun,IA
[ALS],37.45,-105.87,Alamosa,CO
[ALW],46.1,-118.28,Walla Walla,WA
[AMA],35.23,-101.7,Amarillo,TX
[AMG],31.53,-82.52,Alma,GA
[ANB],33.58,-85.85,Anniston,AL
[ANC],61.17,-150.02,Anchorage,AK
[AND],34.5,-82.72,Anderson,SC
[ANI],61.58,-159.53,Aniak,AK
[ANN],55.03,-131.57,Annette Isl,AK
[ANW],42.58,-99.98,Ainsworth,NE
[AOO],40.3,-78.32,Altoona,PA
[APA],39.57,-104.83,Englewood,CO
[APC],38.22,-122.28,Napa,CA
[APF],26.13,-81.8,Naples,FL
[APG],39.47,-76.17,Phillips,MD
[APN],45.07,-83.57,Alpena,MI
[AQQ],29.73,-85.03,Apalachicola,FL
[ARA],30.03,-91.88,New Iberia,LA
[ARB],42.22,-83.75,Ann Arbor,MI
[ARG],36.13,-90.93,Walnut Ridge,AR
[ARR],41.77,-88.32,Aurora,IL
[ART],44,-76.02,Watertown,NY
[ASE],39.22,-106.87,Aspen,CO
[ASG],36.18,-94.13,Springdale,AR
[ASH],42.78,-71.52,Nashua,NH
[AST],46.15,-123.88,Astoria,OR
[ATL],33.65,-84.42,Atlanta,GA
[ATL],33.65,-84.42,Atlanta,GA
[ATU],53.5,-173.3,Attu,AK
[ATW],44.25,-88.52,Appleton,WI
[ATY],44.92,-97.15,Watertown,SD
[AUG],44.32,-69.8,Augusta,ME
[AUI],39.83,-117.13,Austin,NV
[AUO],32.67,-85.44,Auburn,AL
[AUS],30.3,-97.7,Austin,TX
[AUW],44.92,-89.62,Wausau,WI
[AVL],35.43,-82.55,Asheville,NC
[AVP],41.33,-75.73,Wilkes-Barre,PA
[AWH],41.33,-116.25,Wildhorse,NV
[AXN],45.87,-95.38,Alexandria,MN
[AXO],29.18,-90.07,Grand Isle,LA
[AYE],42.57,-71.6,Fort Devens,MA
[AYS],31.25,-82.4,Waycross,GA
[AZO],42.23,-85.55,Kalamazoo,MI
[BAB],39.13,-121.45,Beale AFB,CA
[BAD],32.5,-93.67,Barksdale,LA
[BAF],42.17,-72.72,Westfield,MA
[BAK],39.38,-86.5,Bakalar Af,IN
[BAL],39.18,-76.67,Baltimore,MD
[BAM],40.62,-116.87,Battle Mtn,NV
[BBW],41.43,-99.65,Broken Bow,NE
[BDF],41.16,-89.6,Bradford,IL
[BDL],41.93,-72.68,Windsor Loc,CT
[BDR],41.17,-73.13,Bridgeport,CT
[BED],42.47,-71.28,Bedford,MA
[BEH],42.13,-86.43,Benton Harbor,MI
[BET],60.78,-161.8,Bethel Arpt,AK
[BFD],41.8,-78.63,Bradford,PA
[BFF],41.87,-103.6,Scottsbluff,NE
[BFI],47.53,-122.3,Seattle/Boeing,WA
[BFL],35.43,-119.05,Bakersfield,CA
[BFM],30.63,-88.07,Mobile Aeros,AL
[BGM],42.22,-75.98,Binghamton,NY
[BGR],44.8,-68.82,Bangor,ME
[BGS],32.39,-101.48,Big Sky,TX
[BHB],44.45,-68.37,Bar Harbor,ME
[BHM],33.57,-86.75,Birmingham,AL
[BID],41.17,-71.58,Block Island,RI
[BIE],40.32,-96.75,Beatrice,NE
[BIG],64,-145.73,Big Delta,AK
[BIH],37.6,-118.6,Bishop,CA
[BIL],45.8,-108.53,Billings,MT
[BIS],46.77,-100.75,Bismarck,ND
[BIX],30.42,-88.92,Keesler AFB,MS
[BJC],39.9,-105.12,Brmfield/Jef,CO
[BJI],47.5,-94.93,Bemidji Muni,MN
[BKE],44.83,-117.82,Baker,OR
[BKF],39.72,-104.75,Buckley,CO
[BKH],22.05,-160.3,Barking San,HI
[BKL],41.52,-81.68,Cleveland,OH
[BKW],37.78,-81.12,Beckley,WV
[BKX],44.3,-96.8,Brookings,SD
[BLF],37.3,-81.22,Bluefield,WV
[BLH],33.62,-114.72,Blythe,CA
[BLI],48.8,-122.53,Bellingham,WA
[BLU],39.28,-120.7,Blue Canyon,CA
[BLV],38.55,-89.85,Scott AFB,IL
[BMG],39.13,-86.62,Bloomington,IN
[BMI],40.48,-88.93,Bloomington,IL
[BML],44.58,-71.18,Berlin,NH
[BNA],36.12,-86.68,Nashville,TN
[BNO],43.6,-118.95,Burns Arpt,OR
[BOI],43.57,-116.22,Boise,ID
[BOS],42.37,-71.03,Boston,MA
[BPI],42.57,-110.1,Big Piney,WY
[BPT],30.58,-94.02,Port Arthur,TX
[BRD],46.4,-94.13,Brainerd-Crw,MN
[BRL],40.78,-91.12,Burlington,IA
[BRO],25.9,-97.43,Brownsville,TX
[BRW],71.3,-156.78,Barrow,AK
[BSI],40.27,-79.09,Blairsville,PA
[BSM],30.2,-97.68,Bergstrom Af,TX
[BTI],70.13,-143.63,Barter Islan,AK
[BTL],42.3,-85.23,Battle Creek,MI
[BTM],45.95,-112.5,Butte,MT
[BTR],30.53,-91.15,Baton Rouge,LA
[BTT],66.92,-151.52,Bettles,AK
[BTV],44.47,-73.15,Burlington,VT
[BUB],41.78,-99.15,Burwell,NE
[BUF],42.93,-78.73,Buffalo,NY
[BUO],33.93,-116.95,Beaumont,CA
[BUR],34.2,-118.37,Burbank,CA
[BVE],29.55,-89.67,Boothville,LA
[BVI],40.75,-80.33,Beaver Falls,PA
[BVO],36.75,-96,Bartlesville,OK
[BVY],42.58,-70.92,Beverly,MA
[BWD],31.79,-98.96,Brownwood,TX
[BWG],36.97,-86.43,Bowling Gren,KY
[BWI],39.18,-76.67,Baltimore,MD
[BYH],35.97,-89.95,Blytheville,AR
[BYI],42.53,-113.77,Burley,ID
[BYS],35.28,-116.62,Bicycle Lk,CA
[BZN],45.78,-111.15,Bozeman,MT
[C10],43.07,-85.95,Coopersville,MI
[C96],40,-105.87,Winter Park,CO
[CAE],33.95,-81.12,Columbia,SC
[CAG],40.5,-107.53,Craig-Moffat,CO
[CAK],40.92,-81.43,Canton,OH
[CAO],36.45,-103.15,Clayton Arpt,NM
[CAR],46.87,-68.02,Caribou Mun,ME
[CBM],33.65,-88.45,Columbus AFB,MS
[CCR],37.98,-122.05,Concord,CA
[CDB],55.2,-162.72,Cold Bay,AK
[CDC],37.7,-113.1,Cedar City,UT
[CDE],56,-134.22,Cape Decis,AK
[CDH],33.52,-92.4,Camden,AR
[CDR],42.83,-103.08,Chadron,NE
[CDS],34.43,-100.28,Childress,TX
[CDV],60.5,-145.5,Cordova,AK
[CDW],40.87,-74.28,Fairfield,NJ
[CEC],41.78,-124.23,Crescent Cty,CA
[CEF],42.2,-72.53,Westover,MA
[CEW],30.78,-86.52,Crestview,FL
[CEZ],37.3,-108.63,Cortez,CO
[CGA],55.8,-133.25,Craig,AK
[CGF],41.57,-81.48,Cleveland,OH
[CGI],37.23,-89.58,Cp Girardeau,MO
[CGX],41.87,-87.62,Chicago/Meigs,IL
[CHA],35.03,-85.2,Chattanooga,TN
[CHB],43.75,-99.32,Chamberlain,SD
[CHD],33.3,-111.67,Williams AFB,AZ
[CHH],41.67,-69.97,Chatham,MA
[CHI],41.9,-87.65,Chicago,IL
[CHO],38.13,-78.45,Charlottesvi,VA
[CHS],32.9,-80.03,Charleston,SC
[CIC],39.78,-121.85,Chico,CA
[CID],41.88,-91.7,Cedar Rapids,IA
[CIU],46.25,-84.47,Chippewa,MI
[CKB],39.28,-80.23,Clarksburg,WV
[CKL],32.9,-87.25,Centreville,AL
[CKV],36.62,-87.42,Clarksville,TN
[CLE],41.42,-81.87,Cleveland,OH
[CLL],30.58,-96.37,College Stn,TX
[CLM],48.12,-123.5,Port Angeles,WA
[CLT],35.22,-80.93,Charlotte,NC
[CMH],40,-82.88,Columbus,OH
[CMI],40.03,-88.28,Champaign/Urbana,IL
[CMX],47.17,-88.5,Hancock,MI
[CNK],39.55,-97.65,Concordia,KS
[CNM],32.33,-104.27,Carlsbad,NM
[CNO],33.97,-117.63,Chino,CA
[CNU],37.67,-95.48,Chanute,KS
[CNY],38.77,-109.75,Moab,UT
[COD],44.52,-109.02,Cody,WY
[COE],47.77,-116.82,Coeur d'Alene,ID
[COF],28.23,-80.6,Patrick AFB,FL
[CON],43.2,-71.5,Concord,NH
[COS],38.82,-104.72,Colo Sprgs,CO
[COT],28.45,-99.22,Cotulla,TX
[COU],38.82,-92.22,Columbia,MO
[CPR],42.92,-106.47,Casper,WY
[CPS],38.57,-90.15,Bistate Park,IL
[CRC],65.83,-144.07,Circle City,AK
[CRE],33.82,-78.72,Nth Myrtle B,SC
[CRG],30.33,-81.52,Jacksonville,FL
[CRP],27.77,-97.5,Corpus Chrst,TX
[CRQ],33.13,-117.28,Carlsbad,CA
[CRW],38.37,-81.6,Charleston,WV
[CSG],32.52,-84.93,Columbus,GA
[CSM],35.35,-99.2,Clinton,OK
[CSP],58.33,-137.05,Cape Spence,AK
[CSV],35.95,-85.08,Crossville,TN
[CTB],48.6,-112.37,Cut Bank,MT
[CTR],37.07,-89.22,Cairo,IL
[CTY],29.62,-83.1,Cross City,FL
[CVG],39.05,-84.67,Cincinnati,OH
[CVO],44.5,-123.28,Corvallis,OR
[CVS],34.38,-103.32,Cannon,NM
[CWA],44.78,-89.67,Mosinee,WI
[CXY],40.22,-76.85,Harrisburg,PA
[CYS],41.15,-104.82,Cheyenne,WY
[CZD],40.87,-100,Cozad,NE
[CZK],45.68,-121.88,Cascade,OR
[CZZ],32.62,-116.47,Campo,CA
[D45],48.93,-95.35,Warroad,MN
[DAA],38.72,-77.18,Fort Belvoir,VA
[DAB],29.18,-81.05,Daytona Bch,FL
[DAG],34.87,-116.78,Daggett,CA
[DAL],32.85,-96.85,Dallas/Love,TX
[DAN],36.57,-79.33,Danville,VA
[DAY],39.9,-84.2,Dayton,OH
[DBQ],42.4,-90.7,Dubuque,IA
[DCA],38.85,-77.04,Washington/Natl,DC
[DDC],37.77,-99.97,Dodge City,KS
[DEC],39.83,-88.87,Decatur,IL
[DEN],39.75,-104.87,Denver,CO
[DET],42.42,-83.02,Detroit,MI
[DFW],32.9,-97.03,Dallas/FW,TX
[DHN],31.32,-85.45,Dothan,AL
[DHT],36.02,-102.55,Dalhart,TX
[DIK],46.78,-102.8,Dickenson,ND
[DKB],41.93,-88.72,DeKalb,IL
[DLF],29.37,-100.78,Laughlin AFB,TX
[DLG],59.05,-158.52,Dillingham,AK
[DLH],46.83,-92.18,Duluth,MN
[DLN],45.25,-112.55,Dillon,MT
[DLS],45.62,-121.15,The Dalles,OR
[DMA],32.17,-110.88,Davis-M AFB,AZ
[DMN],32.25,-107.7,Deming,NM
[DNV],40.2,-87.6,Danville,IL
[DOV],39.13,-75.47,Dover,DE
[DPA],41.92,-88.25,Du Page,IL
[DPG],40.2,-112.93,Dugway Prvgr,UT
[DRA],36.62,-116.02,Mercury,NV
[DRO],37.15,-107.75,Durango,CO
[DRT],29.37,-100.92,Del Rio,TX
[DSM],41.53,-93.65,Des Moines,IA
[DSV],42.97,-78.2,Dansville,NY
[DTL],46.82,-95.88,Detroit Laks,MN
[DTN],32.52,-93.75,Shreveport,LA
[DTW],42.23,-83.33,Detroit,MI
[DUG],31.45,-109.6,Douglas,AZ
[DUJ],41.18,-78.9,Dubois,PA
[DUT],53.88,-166.53,Dutch Harbor,AK
[DVL],48.12,-98.9,Devil's Lake,ND
[DVT],33.68,-112.08,Deer Valley,AZ
[DWH],30.07,-95.55,D.w. Hooks,TX
[DXR],41.37,-73.48,Danbury,CT
[DYR],36.02,-89.4,Dyersburg,TN
[DYS],32.43,-99.85,Dyess AFB,TX
[E03],34.27,-110,Show Low,AZ
[E23],36.42,-105.57,Taos,NM
[E28],32.9,-106.4,Northrup Str,NM
[E74],32.82,-109.68,Safford Awrs,AZ
[EAA],64.77,-141.15,Eagle Arpt,AK
[EAR],40.73,-99,Kearney,NE
[EAT],47.4,-120.2,Wenatchee,WA
[EAU],44.87,-91.48,Eau Claire,WI
[ECG],36.27,-76.18,Elizabeth,NC
[EDW],34.9,-117.88,Edwards AFB,CA
[EED],34.77,-114.62,Needles,CA
[EEN],42.9,-72.27,Keene,NH
[EEW],44.22,-88.53,Neenah,WI
[EFD],29.62,-95.17,Ellington Af,TX
[EFK],45.55,-72.33,Newport,VT
[EGE],39.65,-106.92,Eagle,CO
[EGI],30.65,-86.52,Duke Fld,FL
[EKA],41.33,-124.28,Eureka,CA
[EKM],41.72,-86,Elkhart,IN
[EKN],38.88,-79.85,Elkins,WV
[EKO],40.83,-115.78,Elko,NV
[ELD],33.22,-92.8,El Dorado,AR
[ELM],42.17,-76.9,Elmira,NY
[ELO],47.9,-91.82,Ely,MN
[ELP],31.8,-106.4,El Paso,TX
[ELV],58.2,-136.35,Elfin Cove,AK
[ELY],39.28,-114.85,Ely/Yelland,NV
[EMP],38.33,-96.2,Emporia,KS
[EMT],34.08,-118.03,El Monte,CA
[ENA],60.57,-151.25,Kenai,AK
[END],36.33,-97.92,Vance AFB,OK
[ENL],38.51,-89.09,Centralia,IL
[ENN],64.55,-149.08,Nenana,AK
[ENV],41.22,-114.05,Wendover,UT
[EPH],47.32,-119.52,Ephrata,WA
[ERI],42.08,-80.18,Erie,PA
[ERO],59.62,-135.37,Eldred Rock,AK
[ERV],29.98,-99.08,Kerrville,TX
[ESC],45.73,-87.08,Escanaba,MI
[ESF],31.38,-92.3,Alexandria,LA
[EST],43.4,-94.75,Estherville,IA
[EUG],44.12,-123.22,Eugene,OR
[EVV],38.05,-87.53,Evansville,IN
[EVW],41.33,-111,Evanston,WY
[EWB],41.68,-70.97,New Bedford,MA
[EWN],35.08,-77.05,New Bern,NC
[EWR],40.7,-74.17,Newark Intl,NJ
[EYW],24.55,-81.75,Key West,FL
[F39],33.72,-96.67,Sherman-Deni,TX
[FAF],37.13,-76.62,Fort Eustis,VA
[FAI],64.82,-147.87,Fairbanks,AK
[FAR],46.9,-96.8,Fargo,ND
